id,user_id,amount,type,category,description,receipt_url,source,transacted_at,created_at
550e8400-e29b-4000-a000-000000000023,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,6500,expense,food,食料品,,dashboard,2026-02-17,2026-02-17 11:00:00+00
550e8400-e29b-4000-a000-000000000024,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,12500,expense,clothing,春服購入,,dashboard,2026-02-20,2026-02-20 14:00:00+00
550e8400-e29b-4000-a000-000000000025,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,4200,expense,transport,交通費,,dashboard,2026-02-22,2026-02-22 08:00:00+00
550e8400-e29b-4000-a000-000000000026,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,7200,expense,food,食料品,,dashboard,2026-02-24,2026-02-24 11:00:00+00
550e8400-e29b-4000-a000-000000000027,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,250000,income,salary,2月給与,,dashboard,2026-02-25,2026-02-25 09:00:00+00
550e8400-e29b-4000-a000-000000000028,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,5000,expense,entertainment,友人と映画鑑賞,,dashboard,2026-02-25,2026-02-25 15:00:00+00
550e8400-e29b-4000-a000-000000000029,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,2500,expense,medical,薬代,,dashboard,2026-02-27,2026-02-27 12:00:00+00
550e8400-e29b-4000-a000-000000000030,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,4200,expense,other,雑費・消耗品,,dashboard,2026-02-28,2026-02-28 11:00:00+00
550e8400-e29b-4000-a000-000000000031,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,70000,expense,housing,3月家賃,,dashboard,2026-03-01,2026-03-01 09:00:00+00
550e8400-e29b-4000-a000-000000000032,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,3800,expense,food,昼食,,dashboard,2026-03-01,2026-03-01 12:00:00+00
